"","Site","Year","DevOpenSpace.1km","DevLowIntensity.1km","DeciduousForest.1km","EvergreenForest.1km","MixedForest.1km","Scrub.1km","GrasslandHerb.1km","WoodyWetlands.1km","EmergHerbWetlands.1km","DevMedIntensity.1km","BarrenLand.1km","OpenWater.1km","CultivCrops.1km","DevHighIntensity.1km","PastureHay.1km","TotalPixels.1km","DevOpenSpace.1km.pct","DevLowIntensity.1km.pct","DeciduousForest.1km.pct","EvergreenForest.1km.pct","MixedForest.1km.pct","Scrub.1km.pct","GrasslandHerb.1km.pct","WoodyWetlands.1km.pct","EmergHerbWetlands.1km.pct","DevMedIntensity.1km.pct","BarrenLand.1km.pct","OpenWater.1km.pct","CultivCrops.1km.pct","DevHighIntensity.1km.pct","PastureHay.1km.pct","OpenWater.5km","DevOpenSpace.5km","DevLowIntensity.5km","DevMedIntensity.5km","DevHighIntensity.5km","BarrenLand.5km","DeciduousForest.5km","EvergreenForest.5km","MixedForest.5km","Scrub.5km","GrasslandHerb.5km","PastureHay.5km","WoodyWetlands.5km","EmergHerbWetlands.5km","CultivCrops.5km","PerennialIceSnow.5km","TotalPixels.5km","OpenWater.5km.pct","DevOpenSpace.5km.pct","DevLowIntensity.5km.pct","DevMedIntensity.5km.pct","DevHighIntensity.5km.pct","BarrenLand.5km.pct","DeciduousForest.5km.pct","EvergreenForest.5km.pct","MixedForest.5km.pct","Scrub.5km.pct","GrasslandHerb.5km.pct","PastureHay.5km.pct","WoodyWetlands.5km.pct","EmergHerbWetlands.5km.pct","CultivCrops.5km.pct","PerennialIceSnow.5km.pct"
"31","MAR",2004,359,170,0,1757,0,181,0,474,536,16,0,0,0,0,0,3493,0.102776982536502,0.0486687661036358,0,0.503006012024048,0,0.0518179215574005,0,0.135699971371314,0.153449756656169,0.00458058975093043,0,0,0,0,0,12,3991,1764,86,0,0,0,57953,0,3164,16,1,2189,3366,0,0,72542,0.000165421411044636,0.0550164042899286,0.0243169474235615,0.00118552011248656,0,0,0,0.798888919522484,0,0.0436161120454358,0.000220561881392848,1.3785117587053e-05,0.0301756223980591,0.0464007057980205,0,0
"32","NFFR",2004,215,100,0,2865,0,147,8,139,15,1,0,0,0,0,0,3490,0.0616045845272206,0.0286532951289398,0,0.820916905444126,0,0.0421203438395415,0.00229226361031519,0.0398280802292264,0.00429799426934097,0.000286532951289398,0,0,0,0,0,89,4650,1573,7,0,10,0,68354,0,6870,204,2,4269,1220,0,0,87248,0.0010200806895287,0.0532963506326793,0.0180290665688612,8.02310654685494e-05,0,0.000114615807812213,0,0.783444892719604,0,0.0787410599669906,0.00233816247936915,2.29231615624427e-05,0.0489294883550339,0.01398312855309,0,0
"33","WAR",2004,103,21,0,3300,0,26,10,18,8,4,0,0,0,0,0,3490,0.029512893982808,0.00601719197707736,0,0.945558739255014,0,0.00744985673352436,0.00286532951289398,0.00515759312320917,0.00229226361031519,0.00114613180515759,0,0,0,0,0,87,5010,1280,43,2,0,1,76681,0,2073,408,0,1360,300,0,0,87245,0.000997191816149923,0.0574244942403576,0.014671327869792,0.000492864920625824,2.29239497965499e-05,0,1.1461974898275e-05,0.878915697174623,0,0.023760673964124,0.00467648575849619,0,0.015588285861654,0.00343859246948249,0,0
"34","GSW",2004,13,17,0,3246,0,57,3,154,0,0,0,0,0,0,0,3490,0.00372492836676218,0.00487106017191977,0,0.930085959885387,0,0.0163323782234957,0.000859598853868195,0.0441260744985673,0,0,0,0,0,0,0,588,515,340,33,0,737,0,72926,0,8375,1578,0,2006,145,0,0,87243,0.00673979574292493,0.00590305239388833,0.0038971608037321,0.000378253842715175,0,0.00844766915397224,0,0.835895143449904,0,0.0959962403860482,0.0180874110243802,0,0.0229932487420194,0.00166202446041516,0,0
"35","TBCG",2004,303,106,0,3061,0,21,0,0,0,3,0,0,0,0,0,3494,0.0867200915855753,0.0303377218088151,0,0.876073268460217,0,0.00601030337721809,0,0,0,0.000858614768174013,0,0,0,0,0,0,4613,928,30,0,860,0,73725,0,5851,384,36,191,611,0,0,87229,0,0.0528837886482706,0.0106386637471483,0.000343922319412122,0,0.00985910648981417,0,0.84518909995529,0,0.0670763163626776,0.00440220568847516,0.000412706783294547,0.00218963876692384,0.00700455123869355,0,0
"36","AMC",2004,81,293,1,224,0,2790,10,81,0,10,0,0,0,0,0,3490,0.0232091690544413,0.0839541547277937,0.000286532951289398,0.0641833810888252,0,0.799426934097421,0.00286532951289398,0.0232091690544413,0,0.00286532951289398,0,0,0,0,0,0,1075,4623,135,0,0,39,3281,0,76240,971,266,604,12,0,0,87246,0,0.0123214817871306,0.0529881026064232,0.00154734887559315,0,0,0.000447011897393577,0.037606308598675,0,0.873850950186828,0.0111294500607478,0.00304885037709465,0.00692295348783898,0.000137542122274947,0,0
"37","MCL",2004,166,22,0,3107,0,149,26,22,0,1,0,0,0,0,0,3493,0.0475236186659032,0.00629831090752934,0,0.889493272258803,0,0.0426567420555397,0.00744345834526195,0.00629831090752934,0,0.000286286859433152,0,0,0,0,0,0,4922,352,3,0,0,36,78648,0,1731,716,26,800,9,0,0,87243,0,0.0564171337528512,0.00403470765562853,3.43867129741068e-05,0,0,0.000412640555689282,0.901482067329184,0,0.0198411333860596,0.00820696216315349,0.000298018179108926,0.00916979012642848,0.00010316013892232,0,0
"38","517PSC038",2004,159,57,0,2930,0,105,0,0,0,0,0,236,0,0,0,3487,0.0455979351878405,0.016346429595641,0,0.840263837109263,0,0.0301118439919702,0,0,0,0,0,0.0676799541152854,0,0,0,4178,2485,727,19,0,64,0,70905,0,8048,1,0,643,185,0,0,87255,0.0478826428284912,0.0284797432811873,0.00833190075067331,0.000217752564322961,0,0.000733482321929975,0,0.812618188069452,0,0.0922354019826944,1.14606612801559e-05,0,0.00736920520314022,0.00212022233682883,0,0
"39","517PLC130",2004,32,6,0,3348,0,103,0,0,0,0,0,0,0,0,0,3489,0.00917168243049584,0.00171969045571797,0,0.959587274290628,0,0.0295213528231585,0,0,0,0,0,0,0,0,0,1,1676,473,74,0,23,751,78866,0,5303,63,0,0,0,0,0,87230,1.14639458901754e-05,0.019213573311934,0.00542244640605296,0.00084833199587298,0,0.000263670755474034,0.00860942336352172,0.904115556574573,0,0.0607933050556001,0.00072222859108105,0,0,0,0,0
"40","517LCCAYB",2004,75,6,0,3113,0,256,0,34,0,0,0,0,0,0,0,3484,0.0215269804822044,0.00172215843857635,0,0.893513203214696,0,0.0734787600459242,0,0.00975889781859931,0,0,0,0,0,0,0,6,2711,770,6,0,41,8,77467,0,4850,6,0,1203,192,0,0,87260,6.8760027504011e-05,0.031068072427229,0.00882420352968141,6.8760027504011e-05,0,0.000469860187944075,9.16800366720147e-05,0.88777217510887,0,0.0555810222324089,6.8760027504011e-05,0,0.0137863855145542,0.00220032088012835,0,0
